region_code,region_name,level,category_code,category_name,source_category_code,published_count,population_denominator,pct_all_residents,reference_date,source_url
0181,Södertälje,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,45522,102772,44.294166,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0181,Södertälje,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,16687,102772,16.236913,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0181,Södertälje,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,7987,102772,7.771572,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0181,Södertälje,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,32581,102772,31.702215,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0182,Nacka,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,23162,113730,20.365779,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0182,Nacka,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,7537,113730,6.627099,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0182,Nacka,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,12332,113730,10.843225,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0182,Nacka,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,70698,113730,62.163018,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0183,Sundbyberg,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,19348,57000,33.943860,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0183,Sundbyberg,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,7585,57000,13.307018,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0183,Sundbyberg,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,5773,57000,10.128070,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0183,Sundbyberg,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,24294,57000,42.621053,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0184,Solna,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,29675,86435,34.332157,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0184,Solna,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,9211,86435,10.656563,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0184,Solna,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,9044,86435,10.463354,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0184,Solna,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,38504,86435,44.546769,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0186,Lidingö,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,8803,48369,18.199673,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0186,Lidingö,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,2146,48369,4.436726,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0186,Lidingö,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,5125,48369,10.595629,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0186,Lidingö,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,32300,48369,66.778308,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0187,Vaxholm,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,1284,11636,11.034720,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0187,Vaxholm,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,300,11636,2.578206,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0187,Vaxholm,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,1117,11636,9.599519,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0187,Vaxholm,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,8933,11636,76.770368,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0188,Norrtälje,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,9289,66832,13.899030,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0188,Norrtälje,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,2509,66832,3.754190,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0188,Norrtälje,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,5457,66832,8.165250,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0188,Norrtälje,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,49578,66832,74.183026,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0191,Sigtuna,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,20957,53365,39.271058,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0191,Sigtuna,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,7073,53365,13.254005,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
