district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,svmp_vote_pct,votes_s,votes_v,votes_mp,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01250306,Ekerö 6 Älvnäs,Ekerö,Stockholm,2026,2025,5.6796142518622235,26.425339366515836,203,29,60,1105,113.969888,2006.648391,high_coverage,provisional
01250307,Ekerö 7 Sundby Helgö,Ekerö,Stockholm,2026,2025,4.319269071867898,26.52899126290707,207,35,92,1259,77.79538,1801.123725,high_coverage,provisional
01250308,Ekerö 8 Ekerö centrum,Ekerö,Stockholm,2026,2025,7.787984858753147,42.68104776579353,189,36,52,649,46.531219,597.474441,high_coverage,provisional
01250309,Ekerö 9 Träkvista,Ekerö,Stockholm,2026,2025,5.78104290494933,26.51851851851852,124,20,35,675,77.825242,1346.214572,high_coverage,provisional
01250310,Ekerö 10 Sandudden,Ekerö,Stockholm,2026,2025,3.10951433104249,23.003194888178914,155,14,47,939,47.329367,1522.082292,high_coverage,provisional
01250401,Lovö,Ekerö,Stockholm,2026,2025,3.9331655265177314,36.214605067064085,120,34,89,671,38.848706,987.721105,high_coverage,provisional
01250901,Färingsö 1 Färingsö Norra,Ekerö,Stockholm,2026,2025,5.233464329490312,28.67783985102421,195,54,59,1074,86.065008,1644.513129,high_coverage,provisional
01250902,Färingsö 2 Färentuna Hilleshög,Ekerö,Stockholm,2026,2025,5.8643662479260845,32.18884120171674,185,42,73,932,81.78416,1394.595026,high_coverage,provisional
01250903,Färingsö 3 Svartsjö Sånga,Ekerö,Stockholm,2026,2025,4.695699342003568,34.30555555555556,118,47,82,720,67.614298,1439.91966,high_coverage,provisional
01250904,Färingsö 4 Stenhamra Södra,Ekerö,Stockholm,2026,2025,3.961075563211439,31.976251060220527,284,34,59,1179,62.551821,1579.162528,high_coverage,provisional
01250905,Färingsö 5 Stenhamra Norra,Ekerö,Stockholm,2026,2025,4.893992778282386,32.27561196736174,247,52,57,1103,81.420954,1663.691748,high_coverage,provisional
01250906,Färingsö 6 Skå,Ekerö,Stockholm,2026,2025,5.103973524224728,28.91566265060241,155,43,90,996,80.4811,1576.832239,high_coverage,provisional
01260103,Fridhem,Huddinge,Stockholm,2026,2025,5.824283947445347,39.329517579721994,325,48,108,1223,117.021656,2009.202454,high_coverage,provisional
01260105,Vistaberg,Huddinge,Stockholm,2026,2025,7.648660073088668,39.711191335740075,374,76,100,1385,194.322311,2540.605925,high_coverage,provisional
01260106,Stuvsta centrum,Huddinge,Stockholm,2026,2025,9.876090551980807,44.329896907216494,240,64,83,873,179.704641,1819.592885,high_coverage,provisional
01260107,Myrängen-Högmora,Huddinge,Stockholm,2026,2025,10.499126488249825,38.405797101449274,432,94,110,1656,325.981593,3104.844897,high_coverage,provisional
01260108,Stuvsta gård,Huddinge,Stockholm,2026,2025,8.539392170891176,42.0591456736035,234,81,69,913,134.468019,1574.679044,high_coverage,provisional
01260109,Kynäs,Huddinge,Stockholm,2026,2025,7.401115071552508,35.68313953488372,310,77,104,1376,172.668351,2333.004545,high_coverage,provisional
01260110,Kvarnbergsplan,Huddinge,Stockholm,2026,2025,14.08564220867964,48.51013110846245,300,64,43,839,187.172374,1328.816757,high_coverage,provisional
01260116,Sörskogen,Huddinge,Stockholm,2026,2025,9.928039880871681,39.04382470119522,206,46,42,753,123.015026,1239.066598,high_coverage,provisional
01260117,Balingsnäs,Huddinge,Stockholm,2026,2025,7.10590591239762,40.197841726618705,311,48,88,1112,137.91453,1940.843739,high_coverage,provisional
01260119,Segersminne,Huddinge,Stockholm,2026,2025,6.581338793390154,44.157303370786515,248,57,88,890,72.512838,1101.794639,high_coverage,provisional
01260120,Stensängen,Huddinge,Stockholm,2026,2025,5.694799542245398,42.90657439446367,242,46,84,867,80.00805,1404.931805,high_coverage,provisional
01260122,Gladökvarn-Lissma-Ådran,Huddinge,Stockholm,2026,2025,5.005348184012156,27.18696397941681,184,60,73,1166,98.344127,1964.780938,high_coverage,provisional
01260123,Vårdkasen-Rosenhill,Huddinge,Stockholm,2026,2025,11.768563652219447,37.573385518590996,250,56,78,1022,215.378316,1830.115572,high_coverage,provisional
01260124,Skogsäng,Huddinge,Stockholm,2026,2025,5.531456143944596,40.75187969924812,332,63,147,1330,113.628434,2054.222813,high_coverage,provisional
01260125,Milsten,Huddinge,Stockholm,2026,2025,6.140923531391939,38.60424028268551,283,50,104,1132,116.376816,1895.102836,high_coverage,provisional
01260126,Källbrink,Huddinge,Stockholm,2026,2025,7.361938701427634,35.6513222331048,240,41,83,1021,120.521219,1637.085337,high_coverage,provisional
01260127,Tomtberga norra,Huddinge,Stockholm,2026,2025,14.671611397124474,49.27685950413223,317,112,48,968,265.874851,1812.172118,high_coverage,provisional
01260128,Tomtberga södra,Huddinge,Stockholm,2026,2025,16.59086271817154,50.56410256410256,329,95,69,975,362.62866,2185.713101,high_coverage,provisional
01260129,Storängen,Huddinge,Stockholm,2026,2025,13.336756593939375,42.82238442822384,233,76,43,822,247.02068,1852.179563,high_coverage,provisional
01260130,Huddinge centrum,Huddinge,Stockholm,2026,2025,15.471215729843868,52.98701298701299,260,112,36,770,155.570136,1005.545645,high_coverage,provisional
01260131,Hörningsnäs,Huddinge,Stockholm,2026,2025,6.644259170806759,43.30855018587361,296,67,103,1076,96.482242,1452.114367,high_coverage,provisional
01260132,Paradisbacken,Huddinge,Stockholm,2026,2025,10.075979553507523,44.23645320197044,281,92,76,1015,129.011635,1280.388019,high_coverage,provisional
01260133,Solgård,Huddinge,Stockholm,2026,2025,11.34836846040326,40.888888888888886,272,86,102,1125,244.460429,2154.146033,high_coverage,provisional
01260134,Fullersta gård,Huddinge,Stockholm,2026,2025,6.9930211821581,41.62162162162162,236,54,95,925,115.166682,1646.880211,high_coverage,provisional
01260135,Fullersta torg,Huddinge,Stockholm,2026,2025,9.161693064336376,42.10526315789474,255,63,42,855,124.808806,1362.289755,high_coverage,provisional
01260136,Snättringe gård,Huddinge,Stockholm,2026,2025,6.397573407786649,36.476683937823836,222,49,81,965,100.319588,1568.088111,high_coverage,provisional
01260201,Vidja-Mellansjö-Svartvik,Huddinge,Stockholm,2026,2025,8.861049850844289,34.88843813387424,211,39,94,986,162.133893,1829.736834,high_coverage,provisional
